year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2020,Laptop,MacBook Air,M1,MBA-M1-2020-256,Apple M1 8-core (4P+4E),7-core GPU,"13.3"" Retina 2560x1600",8GB,256GB SSD,1.29,12499000,820,60,IPS LCD Retina,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2020,Laptop,MacBook Air,M1,MBA-M1-2020-512,Apple M1 8-core (4P+4E),8-core GPU,"13.3"" Retina 2560x1600",8GB,512GB SSD,1.29,13999000,920,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2022,Laptop,MacBook Air,M2,MBA-M2-2022-256,Apple M2 8-core (4P+4E),8-core GPU,"13.6"" Liquid Retina 2560x1664",8GB,256GB SSD,1.24,17999000,1180,60,IPS LCD Retina,16-core Neural Engine,Blibli 2025,100% Recycled Aluminum
2022,Laptop,MacBook Air,M2,MBA-M2-2022-512,Apple M2 8-core (4P+4E),10-core GPU,"13.6"" Liquid Retina 2560x1664",8GB,512GB SSD,1.24,19999000,1310,60,IPS LCD Retina,16-core Neural Engine,Bhinneka 2025,100% Recycled Aluminum
2023,Laptop,MacBook Air,M2 15-inch,MBA-M2-15-2023-256,Apple M2 8-core (4P+4E),10-core GPU,"15.3"" Liquid Retina 2880x1864",8GB,256GB SSD,1.51,22499000,1475,60,IPS LCD Retina,16-core Neural Engine,Apple Official,100% Recycled Aluminum
2024,Laptop,MacBook Air,M3 13-inch,MBA-M3-13-2024-256,Apple M3 8-core (4P+4E),8-core GPU,"13.6"" Liquid Retina 2560x1664",8GB,256GB SSD,1.24,18499000,1213,60,IPS LCD Retina,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2024,Laptop,MacBook Air,M3 13-inch,MBA-M3-13-2024-512,Apple M3 8-core (4P+4E),10-core GPU,"13.6"" Liquid Retina 2560x1664",16GB,512GB SSD,1.24,19000000,1245,60,IPS LCD Retina,16-core Neural Engine,Kompas Tekno 2024,100% Recycled Aluminum
2024,Laptop,MacBook Air,M3 13-inch,MBA-M3-13-2024-24GB,Apple M3 8-core (4P+4E),10-core GPU,"13.6"" Liquid Retina 2560x1664",24GB,512GB SSD,1.24,23499000,1540,60,IPS LCD Retina,16-core Neural Engine,Blibli 2025,100% Recycled Aluminum
2024,Laptop,MacBook Air,M3 15-inch,MBA-M3-15-2024-256,Apple M3 8-core (4P+4E),10-core GPU,"15.3"" Liquid Retina 2880x1864",8GB,256GB SSD,1.51,22499000,1475,60,IPS LCD Retina,16-core Neural Engine,ANTARA News 2025,100% Recycled Aluminum
2024,Laptop,MacBook Air,M3 15-inch,MBA-M3-15-2024-512,Apple M3 8-core (4P+4E),10-core GPU,"15.3"" Liquid Retina 2880x1864",16GB,512GB SSD,1.51,19499000,1278,60,IPS LCD Retina,16-core Neural Engine,Blibli 2025,100% Recycled Aluminum
