year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2024,Premium Gaming,Pongo Studio,Pongo Studio X,AXIOO-PONGO-STUDIO-X,Intel Core i9-13900HX,NVIDIA GeForce RTX 4070 8GB,"16"" 2560x1600 (QHD+)",32GB,1TB SSD,2.1,29999000,2000,240,IPS,,axiooworld.com,Metal
2024,Gaming,Pongo 960,Pongo 960,AXIOO-PONGO-960,Intel Core i9-13900H,NVIDIA GeForce RTX 4060 8GB,"15.6"" 1920x1080",16GB,512GB SSD,2.0,18300000,1220,144,IPS,,axiooworld.com,Plastic
2025,Gaming,Pongo 760,Pongo 760 v2,AXIOO-PONGO-760-V2,Intel Core i7-13620H,NVIDIA GeForce RTX 4060 8GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,16249000,1083,144,IPS,,axiooworld.com,Plastic
2024,Gaming,Pongo 760,Pongo 760,AXIOO-PONGO-760,Intel Core i7-12650H,NVIDIA GeForce RTX 4060 8GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,15699000,1047,144,IPS,,axiooworld.com,Plastic
2024,Gaming,Pongo 775,Pongo 775,AXIOO-PONGO-775,Intel Core i7-13620H,NVIDIA GeForce RTX 3050 6GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,13999000,933,144,IPS,,axiooworld.com,Plastic
2024,Gaming,Pongo 750,Pongo 750,AXIOO-PONGO-750,Intel Core i7-13620H,NVIDIA GeForce RTX 4050 6GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,12500000,833,144,IPS,,axiooworld.com,Plastic
2024,Gaming,Pongo 735,Pongo 735,AXIOO-PONGO-735,Intel Core i7-13620H,NVIDIA GeForce RTX 3050 6GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,11999000,800,144,IPS,,axiooworld.com,Plastic
2023,Gaming,Pongo 725,Pongo 725,AXIOO-PONGO-725,Intel Core i7-12650H,NVIDIA GeForce RTX 2050 4GB,"15.6"" 1920x1080",16GB,512GB SSD,1.99,10499000,700,144,IPS,,axiooworld.com,Plastic
2024,Mainstream,MyBook Z10 Metal,MyBook Z10 Metal i5 16GB,AXIOO-Z10-I5-16GB,Intel Core i5-1335U,Intel Iris Xe Graphics,"14"" 1920x1080",16GB,1TB SSD,1.4,9399000,627,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Z10 Metal,MyBook Z10 Metal i5 16GB 512GB,AXIOO-Z10-I5-16-512,Intel Core i5-1335U,Intel Iris Xe Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,8999000,600,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Z10 Metal,MyBook Z10 Metal i5 8GB,AXIOO-Z10-I5-8GB,Intel Core i5-1335U,Intel Iris Xe Graphics,"14"" 1920x1080",8GB,256GB SSD,1.4,8399000,560,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook SAGA,MyBook SAGA 12 8GB,AXIOO-SAGA-12-8GB,Intel Core i5-12450H,Intel Iris Xe Graphics,"16"" 2560x1600",8GB,256GB SSD,1.75,8399000,560,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook SAGA,MyBook SAGA 10 16GB,AXIOO-SAGA-10-16GB,Intel Core i5-1235U,Intel Iris Xe Graphics,"16"" 2560x1600",16GB,512GB SSD,1.75,7399000,493,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Pro,MyBook Pro X7,AXIOO-PRO-X7,AMD Ryzen 7-5825U,AMD Radeon Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,7899000,527,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Pro,MyBook Pro X5,AXIOO-PRO-X5,AMD Ryzen 5-5625U,AMD Radeon Graphics,"14"" 1920x1080",8GB,256GB SSD,1.4,7800000,520,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Z6,MyBook Z6 Metal 16GB,AXIOO-Z6-METAL-16GB,Intel Core i3-1215U,Intel UHD Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,6899000,460,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook SAGA,MyBook SAGA 10 8GB,AXIOO-SAGA-10-8GB,Intel Core i5-1235U,Intel Iris Xe Graphics,"16"" 2560x1600",8GB,256GB SSD,1.75,6699000,447,60,IPS,,axiooworld.com,Metal
2024,Mainstream,MyBook Z6,MyBook Z6 16GB,AXIOO-Z6-16GB,Intel Core i3-1215U,Intel UHD Graphics,"14"" 1920x1080",16GB,512GB SSD,1.4,6499000,433,60,IPS,,axiooworld.com,Plastic
2024,Mainstream,MyBook Z6,MyBook Z6 Metal 8GB,AXIOO-Z6-METAL-8GB,Intel Core i3-1215U,Intel UHD Graphics,"14"" 1920x1080",8GB,256GB SSD,1.4,5999000,400,60,IPS,,axiooworld.com,Metal
2024,Budget,MyBook Hype,MyBook Hype JKT48 Special Edition,AXIOO-HYPE-JKT48,Intel Core i3-1215U,Intel UHD Graphics,"14"" 1920x1080",16GB,512GB SSD,1.6,5900000,393,60,IPS,,axiooworld.com,Plastic
2024,Mainstream,MyBook Hype,MyBook Hype 7 AMD X7,AXIOO-HYPE-7-X7,AMD Ryzen 7-5825U,AMD Radeon Vega 8,"14"" 1920x1080",16GB,512GB SSD,1.4,7000000,467,60,IPS,,axiooworld.com,Plastic
