year,category,series,model,sku_example,cpu,gpu,display,ram,storage,weight_kg,price_idr,price_usd,refresh_rate_hz,panel_type,npu_ai_tops,source,material
2023,Laptop,MSI Modern,14 C13M,MOD-14-C13M-i3,Intel Core i3-1215U,Intel UHD Graphics,"14"" FHD 1920x1080",8GB DDR4,256GB SSD,1.4,6900000,452,60,IPS,,Carisinyal 2024,Aluminum
2024,Laptop,MSI Modern,14 C13M,MOD-14-C13M-R7,AMD Ryzen 7 7730U,AMD Radeon Vega 7,"14"" FHD 1920x1080",16GB LPDDR5,512GB SSD,1.3,9200000,603,60,IPS,,Carisinyal 2024,Aluminum
2024,Laptop,MSI Modern,14 H D13MG,MOD-14H-i5-13420H,Intel Core i5-13420H,Intel Iris Xe,"14"" FHD 1920x1080",16GB LPDDR5,512GB SSD,1.4,10900000,714,60,IPS,,IDN Times 2024,Aluminum
2024,Laptop,MSI Modern,14 H D13MG,MOD-14H-i5-12500H,Intel Core i5-12500H,Intel Iris Xe,"14"" FHD 1920x1080",16GB LPDDR5,512GB SSD,1.4,10100000,662,60,IPS,,Carisinyal 2024,Aluminum
2023,Laptop,MSI Modern,15 F13M,MOD-15-F13M-i5,Intel Core i5-1335U,Intel Iris Xe,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,1.7,9900000,649,60,IPS,,Carisinyal 2024,Aluminum-Plastic
2024,Laptop,MSI Prestige,13 Evo A13M,PRE-13-Evo-i7,Intel Core i7-1360P,Intel Iris Xe,"13.3"" FHD 1920x1080",16GB LPDDR5,512GB SSD,0.99,16999000,1114,60,IPS,,MSI Indonesia 2024,Magnesium-Aluminum
2024,Laptop,MSI Prestige,14 H A13MG,PRE-14H-i5-RTX2050,Intel Core i5-12500H,NVIDIA RTX 2050 4GB,"14"" FHD+ 1920x1200",16GB LPDDR5,512GB SSD,1.5,10900000,714,60,IPS,,IDN Times 2024,Aluminum
2024,Laptop,MSI Prestige,14 Evo B13M,PRE-14-Evo-i7,Intel Core i7-1360P,Intel Iris Xe,"14"" FHD+ 1920x1200",16GB LPDDR5,1TB SSD,1.49,17999000,1180,60,IPS,,Pricebook 2025,Aluminum
2024,Laptop,MSI Prestige,14 AI Evo,PRE-14-AI-Evo-U7,Intel Core Ultra 7 155H,Intel Arc,"14"" FHD+ 1920x1200",16GB LPDDR5X,512GB SSD,1.3,14999000,983,60,IPS,AI 34 TOPS,TechNave Malaysia 2025,Aluminum
2024,Laptop,MSI Prestige,16 Studio A13VE,PRE-16-Studio-RTX4050,Intel Core i7-13700H,NVIDIA RTX 4050 6GB,"16"" WQXGA 2560x1600",32GB DDR5,1TB SSD,2.1,23999000,1573,60,IPS,,MSI Malaysia 2023,Aluminum
2024,Laptop,MSI Prestige,16 Studio A13VF,PRE-16-Studio-RTX4060,Intel Core i7-13700H,NVIDIA RTX 4060 8GB,"16"" WQXGA 2560x1600",32GB DDR5,1TB SSD,2.1,26999000,1770,60,IPS,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Summit,13 AI+ Evo,SUM-13-AI-Evo-R9,AMD Ryzen AI 9 HX 370,AMD Radeon 890M,"13.3"" QHD+ Touch 2560x1600",32GB LPDDR5X,1TB SSD,1.35,28999000,1901,165,OLED Touch,AI 50 TOPS,TechNave Malaysia 2025,Aluminum
2024,Laptop,MSI Summit,A16 AI+,SUM-A16-AI-R9-365,AMD Ryzen AI 9 365,AMD Radeon 880M,"16"" QHD+ Touch 2560x1600",32GB LPDDR5X,1TB SSD,1.86,34999000,2295,165,IPS Touch,AI 50 TOPS,IDN Times 2024,Aluminum
2024,Laptop,MSI Creator,M16 B13UDX,CRE-M16-i5-RTX3050,Intel Core i5-13420H,NVIDIA RTX 3050 4GB,"16"" WQXGA 2560x1600",16GB DDR5,512GB SSD,2.2,17999000,1180,60,IPS,,MSI Indonesia 2024,Aluminum
2023,Laptop,MSI Creator,M16 B13VE,CRE-M16-i7-RTX4050,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,"16"" WQXGA 2560x1600",32GB DDR5,1TB SSD,2.2,25999000,1704,60,IPS,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Creator,Z16HX Studio B13VFTO,CRE-Z16HX-i7-RTX4060,Intel Core i7-13700HX,NVIDIA RTX 4060 8GB,"16"" WQXGA Touch 2560x1600",32GB DDR5,1TB SSD,2.39,34999000,2295,165,miniLED Touch,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI Creator,Z17HX Studio A13VET,CRE-Z17HX-i7-RTX4050Ti,Intel Core i7-13700HX,NVIDIA RTX 4050Ti 6GB,"17"" UHD 3840x2400",32GB DDR5,2TB SSD,2.49,39999000,2623,60,miniLED,,MSI Indonesia 2024,Aluminum
2024,Laptop,MSI CreatorPro,M16 B13VI,CPRO-M16-i9-RTX4090,Intel Core i9-13980HX,NVIDIA RTX 4090 16GB,"16"" UHD+ 3840x2400",64GB DDR5,2TB SSD,2.5,69999000,4590,120,miniLED,,MSI Indonesia 2024,Aluminum
2021,Laptop,MSI GF63,Thin 12UC,GF63-12UC-i5-RTX2050,Intel Core i5-12450H,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,1.86,10700000,701,144,IPS,,IDN Times 2024,Aluminum-Plastic
2023,Laptop,MSI Thin,GF63 12VE,GF63-12VE-i5-RTX4050,Intel Core i5-12450H,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",16GB DDR4,512GB SSD,1.86,13200000,865,144,IPS,,Erablue 2025,Aluminum-Plastic
2023,Laptop,MSI Thin,GF63 12VF,GF63-12VF-i7-RTX4060,Intel Core i7-12650H,NVIDIA RTX 4060 8GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,1.86,16599000,1088,144,IPS,,Erablue 2025,Aluminum-Plastic
2023,Laptop,MSI Thin,15 B13UCX,THIN-15-B13U-i5-RTX2050,Intel Core i5-13420H,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR4,512GB SSD,2.1,11500000,754,144,IPS,,Erablue 2025,Aluminum-Plastic
2024,Laptop,MSI Cyborg,14 A13UDX,CYB-14-i5-RTX3050,Intel Core i5-13420H,NVIDIA RTX 3050 4GB,"14"" FHD+ 1920x1200",8GB DDR5,512GB SSD,1.6,11999000,786,144,IPS,,MSI Indonesia 2024,Translucent Plastic
2024,Laptop,MSI Cyborg,15 A13UCX,CYB-15-i5-RTX2050,Intel Core i5-13420H,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,1.98,12999000,852,144,IPS,,Pricebook 2025,Translucent Plastic
2024,Laptop,MSI Cyborg,15 A13VE,CYB-15-i7-RTX4050,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,1.98,15999000,1048,144,IPS,,Murdockcruz 2025,Translucent Plastic
2024,Laptop,MSI Cyborg,15 A13VF,CYB-15-i7-RTX4060,Intel Core i7-13620H,NVIDIA RTX 4060 8GB,"15.6"" FHR 1920x1080",16GB DDR5,512GB SSD,1.98,16399000,1075,144,IPS,,Pricebook 2025,Translucent Plastic
2025,Laptop,MSI Cyborg,15 AI,CYB-15-AI-U7-RTX4050,Intel Core Ultra 7 155H,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,1.98,16999000,1114,144,IPS,AI 34 TOPS,TechNave Malaysia 2025,Translucent Plastic
2025,Laptop,MSI Cyborg,17,CYB-17-U7-RTX4060,Intel Core Ultra 7 155H,NVIDIA RTX 4060 8GB,"17"" FHD 1920x1080",16GB DDR5,1TB SSD,2.6,18999000,1245,144,IPS,AI 34 TOPS,Kana Komputer 2025,Translucent Plastic
2022,Laptop,MSI Bravo,15 C7UCX,BRA-15-C7U-R5-RTX2050,AMD Ryzen 5 7535HS,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,2.25,11199000,734,144,IPS,,TechNave Malaysia 2024,Aluminum-Plastic
2023,Laptop,MSI Bravo,15 C7UCXK,BRA-15-C7U-R5-RTX2050Ti,AMD Ryzen 5 7535HS,NVIDIA RTX 2050Ti 4GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.25,12999000,852,144,IPS,,TechNave Malaysia 2024,Aluminum-Plastic
2023,Laptop,MSI Bravo,15 C7V,BRA-15-C7V-R7-RTX4050,AMD Ryzen 7 7735HS,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.25,16899000,1107,144,IPS,,TechNave Malaysia 2023,Aluminum-Plastic
2024,Laptop,MSI Alpha,17 C7VG,ALP-17-R9-RX7600M,AMD Ryzen 9 7945HX,AMD Radeon RX 7600M XT 8GB,"17"" FHD 1920x1080",32GB DDR5,1TB SSD,2.8,21999000,1442,144,IPS,,TechNave Malaysia 2025,Aluminum-Plastic
2023,Laptop,MSI Katana,15 B13UCX,KAT-15-i5-RTX2050,Intel Core i5-13420H,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,2.25,13999000,917,144,IPS,,Doran 2025,Plastic-Aluminum
2023,Laptop,MSI Katana,15 B13VEK,KAT-15-i7-RTX4050,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.25,16999000,1114,144,IPS,,MSI Indonesia 2024,Plastic-Aluminum
2023,Laptop,MSI Katana,15 B13VFK,KAT-15-i7-RTX4060,Intel Core i7-13620H,NVIDIA RTX 4060 8GB,"15.6"" FHD 1920x1080",16GB DDR5,1TB SSD,2.25,18999000,1245,144,IPS,,MSI Indonesia 2024,Plastic-Aluminum
2023,Laptop,MSI Katana,15 B13VGK,KAT-15-i7-RTX4070,Intel Core i7-13620H,NVIDIA RTX 4070 8GB,"15.6"" FHD 1920x1080",32GB DDR5,1TB SSD,2.25,21099000,1383,144,IPS,,MSI Indonesia 2024,Plastic-Aluminum
2023,Laptop,MSI Katana,17 B13UDXK,KAT-17-i7-RTX3050,Intel Core i7-13620H,NVIDIA RTX 3050 6GB,"17"" FHD 1920x1080",16GB DDR5,512GB SSD,2.6,17499000,1147,144,IPS,,MSI Indonesia 2024,Plastic-Aluminum
2024,Laptop,MSI Katana,GF66,KAT-GF66-i7-RTX3050Ti,Intel Core i7-11800H,NVIDIA RTX 3050Ti 4GB,"15.6"" FHD 1920x1080",8GB DDR4,1TB SSD,2.25,17999000,1180,144,IPS,,Pricebook 2025,Plastic-Aluminum
2023,Laptop,MSI Sword,15 A13UCX,SWD-15-i5-RTX2050,Intel Core i5-13420H,NVIDIA RTX 2050 4GB,"15.6"" FHD 1920x1080",8GB DDR5,512GB SSD,2.25,13999000,917,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Sword,15 A13UDX,SWD-15-i7-RTX3050,Intel Core i7-13620H,NVIDIA RTX 3050 6GB,"15.6"" FHD 1920x1080",16GB DDR5,512GB SSD,2.25,15999000,1048,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Sword,15 A13VG,SWD-15-i7-RTX4070,Intel Core i7-13620H,NVIDIA RTX 4070 8GB,"15.6"" FHD 1920x1080",32GB DDR5,1TB SSD,2.25,23999000,1573,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Sword,17 A13VE,SWD-17-i7-RTX4050,Intel Core i7-13620H,NVIDIA RTX 4050 6GB,"17"" FHD 1920x1080",16GB DDR5,512GB SSD,2.7,17999000,1180,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
2023,Laptop,MSI Sword,17 A13VF,SWD-17-i7-RTX4060,Intel Core i7-13620H,NVIDIA RTX 4060 8GB,"17"" FHD 1920x1080",32GB DDR5,1TB SSD,2.7,19999000,1311,144,IPS,,MSI Indonesia 2024,Aluminum-Plastic
